month,users,user_associations,associations,words
2009.05,12,2111,2095,1355
2009.06,35,23787,20111,6431
2009.07,15,7479,5980,1634
2009.08,2,2306,1786,364
2009.09,3,2632,2061,464
2009.10,1,2055,1689,393
2009.11,99,29038,21601,4064
2009.12,33,8422,5774,777
2010.01,6,1378,963,119
2010.02,41,5749,3899,447
2010.03,12,1764,1182,142
2010.04,9,3593,2094,171
2010.05,14,3183,2227,336
2010.06,4,456,280,31
2010.07,3,666,521,76
2010.08,1,448,302,30
2010.09,9,760,510,60
2010.10,4,623,447,72
2010.11,5,1692,1115,153
2010.12,4,451,310,56
2011.01,5,1047,765,128
2011.02,7,709,434,53
2011.03,5,248,164,25
2011.04,13,1736,1081,115
2011.05,1,122,77,9
2011.06,7,863,606,68
2011.07,3,101,74,8
2011.08,5,310,216,23
2011.09,5,568,376,40
2011.10,9,1871,1311,135
2011.11,36,2751,1907,236
2011.12,17,1331,820,89
2012.01,11,853,548,61
2012.02,22,2140,1403,129
2012.03,18,1531,1053,118
2012.04,12,2262,1435,168
2012.05,12,2623,1872,307
2012.06,14,1709,1110,136
2012.07,30,3955,2396,225
2012.08,13,1684,1067,64
2012.09,21,1431,869,77
2012.10,30,6201,3909,412
2012.11,29,3049,2040,231
2012.12,20,3864,2364,221
2013.01,29,6923,4832,765
2013.02,27,2819,1939,210
2013.03,30,6484,4368,511
2013.04,28,3164,1981,164
2013.05,31,2808,1800,85
2013.06,26,7026,5569,661
2013.07,23,19293,15515,1677
2013.08,17,17478,13416,1148
2013.09,29,13468,9796,562
2013.10,25,15561,11862,731
2013.11,34,25457,21360,1193
2013.12,43,12644,10047,525
2014.01,45,11584,8321,513
2014.02,41,11824,9334,456
2014.03,47,10929,8191,480
2014.04,150,15012,9588,717
2014.05,69,10036,6554,440
2014.06,558,37288,20308,1537
2014.07,71,6618,3821,171
2014.08,41,3662,2162,112
2014.09,37,10760,5395,235
2014.10,51,12569,9060,405
2014.11,54,10727,5996,344
2014.12,52,9744,4827,331
2015.01,49,8444,3643,183
2015.02,109,13267,6322,373
2015.03,73,7346,3399,171
2015.04,148,13607,6400,406
2015.05,88,7323,3413,144
2015.06,72,10303,4174,235
2015.07,71,9272,4238,192
2015.08,104,14508,6980,300
2015.09,99,12190,5862,346
2015.10,125,12080,5709,299
2015.11,117,11820,5423,330
2015.12,124,22740,12601,716
2016.01,124,22817,12332,679
2016.02,130,27850,16607,874
2016.03,171,21383,11107,589
2016.04,160,15655,6972,327
2016.05,86,9445,4669,180
2016.06,91,8881,3832,143
2016.07,129,13231,5527,192
2016.08,354,18166,7359,328
2016.09,269,16728,6547,222
2016.10,158,12649,5379,264
2016.11,149,10406,4572,208
2016.12,130,9946,4801,182
2017.01,188,16316,6564,203
2017.02,150,13819,5670,189
2017.03,147,11210,4595,179
2017.04,170,10229,3727,120
2017.05,175,10649,3977,91
2017.06,154,8853,3179,107
2017.07,137,9744,3650,72
2017.08,125,9609,4498,209
2017.09,134,12268,5647,215
2017.10,74,5229,2308,100
